"Find companies","Name","Description","Primary Industry","Size","Type","Location","Country","Domain","LinkedIn URL","Update People Search (Find people Table) - 2026-02-13T07:12:49.564Z"
,"V&VN (Verpleegkundigen & Verzorgenden Nederland)","V&VN staat voor Verpleegkundigen & Verzorgenden Nederland. We zijn dé beroepsvereniging van en voor verpleegkundigen en verzorgenden. Met elkaar zorgen we ervoor dat we ons beroep goed kunnen uitoefenen. Maar ook dat we plezier houden in ons werk en trots blijven op ons vak. We maken ons daarom samen sterk voor alles wat dat mogelijk helpt maken.

𝗦𝗹𝘂𝗶𝘁 𝗷𝗲 𝗼𝗼𝗸 𝗮𝗮𝗻 𝗯𝗶𝗷 𝗩&𝗩𝗡!
Met ruim 100.000 leden vormen we één krachtige stem. Bekijk alle voordelen via venvn.nl/lidmaatschap","Hospitals and Health Care","51-200 employees","Non Profit","Utrecht","Netherlands","venvn.nl","https://www.linkedin.com/company/verpleegkundigen-&-verzorgenden-nederland",
,"Growth Tribe","Growth Tribe is here to empower adults to always be learning. Our solutions ensure people & organisations can acquire the digital skills they need to adapt, stay up-to-date and in the lead!

We’ve built a reputation for fast-paced, impactful & enjoyable learning, offering training & coaching in Data Science, Analytics, Artificial Intelligence, Growth & Marketing, Innovation, UX Design & Product Management.

We’re also leading the way in learning innovation & effectiveness. Our “always be learning” platform, an extension of our training portfolio, offers users micro-learning experiences, on-demand virtual coaching with domain experts and ongoing skills assessments. Our state-of-the-art capability assessments enable a more data-driven way of learning in the flow of work, measuring both individual and team domain competency to identify & fix any skills gaps that exist

Operating globally, we have supported the learning journeys of over 35,000 adults in over 1000 organisations. Our 80+ staff are dedicated to creating Europe’s best learning experiences, to empower humans to always be learning.

Our culture is centred around our core philosophy - to always be learning. We maintain an inclusive workplace where learning, and teaching, are core to our values. Growth Tribe is a place that values innovation, experimentation and speed. Leading from the front isn’t easy, and often messy, so we embrace failure but ensure it compels us to learn and grow. We also encourage flexibility and transparency throughout our organisation. 

To learn more about Growth Tribe visit us at https://growthtribe.io

Want a taste of what & how we teach? Check out - http://youtube.com/growthtribe 

If you’re interested in joining the team then visit https://careers.growthtribe.io/","Education Administration Programs","51-200 employees","Educational","Leusden, Utrecht","Netherlands","growthtribe.io","https://www.linkedin.com/company/growth-tribe",
,"PO-Raad","De Vereniging PO-Raad is de sectororganisatie voor het primair onderwijs (po). De vereniging behartigt de gemeenschappelijke belangen van de schoolorganisaties in het basisonderwijs, speciaal basisonderwijs en (voortgezet) speciaal onderwijs. De PO-Raad faciliteert schoolorganisaties in het uitvoeren van hun opdracht: goed onderwijs voor elk kind!","Primary and Secondary Education","51-200 employees","Non Profit","Utrecht, Nederland","Netherlands","poraad.nl","https://www.linkedin.com/company/po-raad",
,"VO-raad","De VO-raad is een vereniging van scholen in het voortgezet onderwijs. Wij behartigen de belangen van het voortgezet onderwijs bij de overheid, politiek, het bedrijfsleven en maatschappelijke organisaties. Daarnaast bevordert de VO-raad de kwaliteit en ontwikkeling van het onderwijs door schoolbestuurders en schoolleiders te faciliteren bij het vervullen van hun taak. 

Wij willen er zo aan bijdragen dat alle leerlingen in het vo goed, eigentijds onderwijs krijgen dat hen uitdaagt en helpt om hun individuele talenten te ontwikkelen en hen goed voorbereidt op de samenleving en arbeidsmarkt. 

De VO-raad vertegenwoordigt vrijwel alle schoolbesturen in Nederland en voert overleg met werknemersorganisaties over de arbeidsvoorwaarden van ruim 120.000 personeelsleden.","Primary and Secondary Education","51-200 employees","Non Profit","Utrecht","Netherlands","vo-raad.nl","https://www.linkedin.com/company/vo-raad",
,"ICM opleidingen & trainingen","We offer more than 300 courses and training programs in the areas of Leadership, Coaching, Personal Development, Process and Project Management, and more. This places us among the top 5 training institutes in the Netherlands. Additionally, we have been repeatedly voted Best Trainer and Best Workplace.

The reason for the existence of ICM Training & Courses is our contribution to the growth and development of people. Of our students, our instructor-trainers, our employees, and ourselves.

Every person has a need for growth, both personally and professionally. We respond to this need by organizing top-quality courses and training programs.

We believe in the following core values:

- Personal Development (utilizing your own potential)
- Performance (a sense of fulfillment, mastery)
- Integrity (honesty, sincerity, standing up for what you believe in)
- Trust (giving, receiving)
- Respect (for yourself and the environment)
- Enjoyment (a relaxed lifestyle)

We offer courses and training in the following categories, which can also be customized or provided in-company:

- Personal Effectiveness
- Leadership & Management
- Process and Project Management
- Communication
- Marketing / NIMA
- Sales / NIMA
- Financial Management
- Personnel Management
- Psychology
- Training as a Profession
- Coaching as a Profession
- Mediation as a Profession

Follow us on Instagram: @icm.opleidingen.trainingen","Education Administration Programs","51-200 employees","Educational","Utrecht, Utrecht","Netherlands","icm.nl","https://www.linkedin.com/company/icm-opleidingen-&-trainingen",
,"Nederlands Huisartsen Genootschap (NHG)","Het Nederlands Huisartsen Genootschap (NHG) is de wetenschappelijke vereniging van huisartsen. Belangrijke doelstelling is de bevordering en ondersteuning van een wetenschappelijk verantwoorde beroepsuitoefening door de huisarts. Het NHG levert een belangrijke bijdrage aan de professionalisering van de beroepsgroep door wetenschap te vertalen naar de huisartsenpraktijk. Wil je werken bij het NHG? Bekijk onze vacatures op vacatures.nhg.org.","Hospitals and Health Care","51-200 employees","Non Profit","Utrecht","Netherlands","nhg.org","https://www.linkedin.com/company/nederlands-huisartsen-genootschap",
,"Landelijke Huisartsen Vereniging (LHV)","De Landelijke Huisartsen Vereniging (LHV) behartigt de belangen van ruim 12.000 huisartsen en huisartsen in opleiding en ondersteunt de leden individueel en collectief. De LHV heeft een initiërende rol door een visie te ontwikkelen op de toekomst van huisartsenzorg in Nederland.
Het overgrote deel van alle praktiserende huisartsen is lid van de LHV: vrij gevestigde huisartsen, apotheekhoudende huisartsen, huisartsen in loondienst en huisartsen die werkzaam zijn als waarnemer. Ook huisartsen in opleiding zijn lid van de LHV.","Hospitals and Health Care","51-200 employees","Non Profit","Utrecht","Netherlands","lhv.nl","https://www.linkedin.com/company/landelijke-huisartsen-vereniging-lhv-",
,"GGD GHOR Nederland","GGD GHOR Nederland is de koepelorganisatie van de GGD'en en GHOR-regio's. 

De belangrijkste taak van GGD GHOR Nederland bestaat uit het collectief behartigen van de belangen van haar leden richting politiek, (lokale) overheden, verzekeraars, samenwerkingspartners, onderwijs, media en publiek. 
De maatschappelijke missie waarvoor de GGD en GHOR zich in elke regio inspannen is het bewaken, beschermen en bevorderen van publieke gezondheid en veiligheid. Uiteindelijk moet dit leiden tot een gezond en veilig bestaan voor de Nederlandse burgers. 
GGD GHOR Nederland wil een organisatie zijn die met creatieve oplossingen komt voor maatschappelijke vraagstukken. Dit vraagt landelijk een sterk gevoel van gemeenschappelijkheid, collectief handelen en uniformiteit.","Hospitals and Health Care","51-200 employees","Non Profit","Utrecht, 3524 SJ","Netherlands","ggdghor.nl","https://www.linkedin.com/company/ggd-nederland",
,"Federatie Medisch Specialisten","De Federatie Medisch Specialisten staat voor 23.000 toegewijde dokters in ziekenhuizen en instellingen. Dag in dag uit werken zij aan het leveren van de beste zorg aan de patiënt. 
We verenigen alle 32 specialismen, ondersteunen bij de uitoefening en ontwikkeling van het vak en spreken met één krachtige stem in politiek en samenleving.
Samen gaan we voorop in vernieuwing zodat 17 miljoen Nederlanders kunnen rekenen op de beste zorg ter wereld.","Hospitals and Health Care","51-200 employees","Non Profit","Utrecht, Utrecht","Netherlands","demedischspecialist.nl","https://www.linkedin.com/company/federatie-medisch-specialisten",
,"CCE | Centrum voor Consultatie en Expertise","Loop je vast en kun je een frisse blik gebruiken? Bij CCE vind je kennis en ervaring over complexe zorgsituaties en (probleem)gedrag. Samen zoeken we naar creatieve oplossingen. We denken graag met je mee - zodat jij en de mensen om jou heen weer verder kunnen.

CONSULTATIE
Een groot deel van ons werk bestaat uit het meedenken en zoeken tijdens consultaties. Onze kennis en ervaring zetten we op maat in bij vastlopende situaties, al naar gelang de behoeften en wensen van de zorgverlener, de cliënt en andere betrokkenen. Daarnaast ontwikkelt en deelt CCE expertise over omgaan met probleemgedrag. Zodat zorgverleners onze inzichten, kennis en ervaring uit consultaties kunnen gebruiken als zij vastlopen met complexe zorgvragen en probleemgedrag.

ONDERZOEK, KENNIS DELEN EN OPLEIDEN
Expertise over probleemgedrag deelt CCE op verschillende manieren met zorgverleners. We initiëren of dragen bij aan praktijkgericht onderzoek, ontwikkelen kennisproducten in een grote variëteit aan vormen en bieden leeractiviteiten, zoals meerdaagse leertrajecten, masterclasses en e-learnings. 

MEERZORG
Als zorgverlener wil je de beste zorg leveren. Maar soms zijn de zorgvragen van mensen zo complex dat er meer nodig is. Meerzorg kan je dan verder helpen. Met een meerzorg-ontwikkeltraject helpt CCE om nog beter aan te sluiten op wat er echt nodig is. Samen kijken we met een brede, frisse blik naar waar  kansen liggen om de kwaliteit van leven van mensen te verbeteren. Zo maken we samen meer impact met meerzorg.

CONTACT
Heb je een vraag of wil je meer informatie? Neem dan contact met ons op via 088 - 44 66 100 of communicatie@cce.nl","Hospitals and Health Care","51-200 employees","Non Profit","Utrecht","Netherlands","cce.nl","https://www.linkedin.com/company/cce-centrum-voor-consultatie-en-expertise",
